Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
DCHS1		1	1	1049	<0.1%	No
CCS		1	1	1049	<0.1%	No
PTCH2		11	11	746	1.5%	No
SRARP		1	1	1049	<0.1%	No
MID1		1	1	1049	<0.1%	No
ATP8B3		1	1	1049	<0.1%	No
RNASEH2B		1	1	1049	<0.1%	No
UNC93A		1	1	1049	<0.1%	No
SLC30A6		2	1	1049	<0.1%	No
MED12		44	44	998	4.4%	Yes
MED13		2	2	1049	0.2%	No
U2AF1		5	5	824	0.6%	Yes
MAP3K9		1	1	1049	<0.1%	No
SOCS1		1	1	998	0.1%	Yes
UBE2D1		1	1	1049	<0.1%	No
KMT2A		27	27	1021	2.6%	Yes
MAP4K1		1	1	1049	<0.1%	No
MLLT1		1	1	196	0.5%	Yes
HNRNPDL		1	1	1049	<0.1%	No
MAP4K5		1	1	1049	<0.1%	No
REC8		3	3	1049	0.3%	No
PCDHGC5		1	1	1049	<0.1%	No
MLH1		7	7	1021	0.7%	Yes
GOLGA8J		1	1	1049	<0.1%	No
FAS		2	2	726	0.3%	Yes
SHROOM2		1	1	1049	<0.1%	No
RHPN2		3	1	1049	<0.1%	No
MPRIP		1	1	1049	<0.1%	No
AQP2		1	1	1049	<0.1%	No
NISCH		1	1	1049	<0.1%	No
UBA7		1	1	1049	<0.1%	No
CCDC110		1	1	1049	<0.1%	No
EIF3B		1	1	1049	<0.1%	No
AADAC		1	1	1049	<0.1%	No
IRS2		44	43	1021	4.2%	Yes
PTBP3		2	2	1049	0.2%	No
FXYD4		1	1	1049	<0.1%	No
EIF3F		1	1	1049	<0.1%	No
ABCA1		3	3	1049	0.3%	No
PASK		1	1	196	0.5%	Yes
ERICH3		1	1	1049	<0.1%	No
RAB42		1	1	1049	<0.1%	No
GPD1L		1	1	1049	<0.1%	No
AR		32	32	1021	3.1%	Yes
ABCC6		1	1	1049	<0.1%	No
ARAF		4	4	1021	0.4%	Yes
TNKS		11	11	746	1.5%	No
ABCA2		2	2	1049	0.2%	No
ABCB7		1	1	1049	<0.1%	No
ABCA4		3	3	1049	0.3%	No
UBTF		4	2	1049	0.2%	No
SLC4A4		1	1	1049	<0.1%	No
ABL1		18	17	1021	1.7%	Yes
ABL2		7	7	749	0.9%	Yes
RIT1		5	5	291	1.7%	Yes
STX16		1	1	1049	<0.1%	No
ABR		1	1	1049	<0.1%	No
RICTOR		12	11	1021	1.1%	Yes
FCHO1		1	1	1049	<0.1%	No
ZZEF1		2	2	1049	0.2%	No
CDHR5		2	1	1049	<0.1%	No
B4GALNT4		1	1	1049	<0.1%	No
LRCH1		1	1	1049	<0.1%	No
ACADL		1	1	1049	<0.1%	No
DND1		1	1	1049	<0.1%	No
UCP2		1	1	1049	<0.1%	No
ACADS		1	1	1049	<0.1%	No
STRAP		1	1	1049	<0.1%	No
ADAMTS7		4	3	1049	0.3%	No
HCN1		1	1	1049	<0.1%	No
KRT36		1	1	1049	<0.1%	No
SEPTIN6		1	1	196	0.5%	Yes
ARF5		1	1	1049	<0.1%	No
CPEB1		1	1	1049	<0.1%	No
UICLM		1	1	1049	<0.1%	No
RHOA		3	3	294	1.0%	Yes
CIC		15	15	998	1.5%	Yes
NCDN		1	1	1049	<0.1%	No
RLF		1	1	1049	<0.1%	No
BAZ1A		1	1	1049	<0.1%	No
BAZ2A		1	1	1049	<0.1%	No
ZNF277		1	1	1049	<0.1%	No
ASIC2		1	1	1049	<0.1%	No
OR11H1		1	1	1049	<0.1%	No
AMER1		18	18	998	1.8%	Yes
ZDHHC11B		1	1	1049	<0.1%	No
ANKS4B		3	3	1049	0.3%	No
RNASE2		1	1	1049	<0.1%	No
UGT2B17		1	1	1049	<0.1%	No
CAMTA2		1	1	1049	<0.1%	No
ARHGAP5		2	2	1049	0.2%	No
JRKL		1	1	1049	<0.1%	No
TMEM92		1	1	1049	<0.1%	No
ARHGDIG		1	1	1049	<0.1%	No
LRRIQ1		2	1	1049	<0.1%	No
ATP10B		3	3	1049	0.3%	No
RAB3GAP2		1	1	1049	<0.1%	No
DISP2		2	2	1049	0.2%	No
ZNF394		1	1	1049	<0.1%	No
GP6		1	1	1049	<0.1%	No
SPANXN1		1	1	1049	<0.1%	No
MYOM3		1	1	1049	<0.1%	No
RNF4		1	1	1049	<0.1%	No
CORO1A		2	2	1049	0.2%	No
BRD2		1	1	1049	<0.1%	No
FBXO36		2	2	1049	0.2%	No
KDM6B		1	1	1049	<0.1%	No
BRI3		1	1	1049	<0.1%	No
CCDC89		1	1	1049	<0.1%	No
N4BP3		1	1	1049	<0.1%	No
KANK4		3	3	1049	0.3%	No
KIAA1755		1	1	1049	<0.1%	No
GPATCH8		1	1	1049	<0.1%	No
FSCN2		1	1	1049	<0.1%	No
RAD54L2		1	1	1049	<0.1%	No
ACTB	0	13	12	196	6.1%	Yes
HELZ2		1	1	1049	<0.1%	No
KNDC1		2	2	1049	0.2%	No
IQUB		1	1	1049	<0.1%	No
RNPEP		1	1	1049	<0.1%	No
KAT8		2	2	1049	0.2%	No
CCDC65		1	1	1049	<0.1%	No
ZNF219		1	1	1049	<0.1%	No
ACTG2		1	1	1049	<0.1%	No
COPZ2		2	2	1049	0.2%	No
ABRAXAS1		5	5	821	0.6%	Yes
HIC2		1	1	1049	<0.1%	No
USP1		1	1	1049	<0.1%	No
USH2A		2	2	1049	0.2%	No
TNRC6B		1	1	1049	<0.1%	No
CUL9		1	1	1049	<0.1%	No
PCMTD1		1	1	1049	<0.1%	No
PHF20		1	1	1049	<0.1%	No
SEMA3G		2	2	1049	0.2%	No
CRIM1		1	1	1049	<0.1%	No
VRK3		1	1	1049	<0.1%	No
KPTN		1	1	1049	<0.1%	No
NCLN		1	1	1049	<0.1%	No
ZNRF3		5	5	723	0.7%	Yes
ACTN4		1	1	1049	<0.1%	No
CDC42EP1		1	1	1049	<0.1%	No
SPPL2B		1	1	1049	<0.1%	No
TOMM40L		1	1	1049	<0.1%	No
TANC1		1	1	1049	<0.1%	No
FHDC1		2	2	1049	0.2%	No
ACTL6A		1	1	1049	<0.1%	No
PAK6		2	2	1049	0.2%	No
ACTN2		1	1	1049	<0.1%	No
SGSM1		1	1	1049	<0.1%	No
ANO5		1	1	1049	<0.1%	No
TDRD9		1	1	1049	<0.1%	No
AQP11		2	2	1049	0.2%	No
VPS33B		1	1	1049	<0.1%	No
AJUBA		1	1	1049	<0.1%	Yes
CBARP		1	1	1049	<0.1%	No
SACS		3	3	1049	0.3%	No
ACVR1B		2	2	723	0.3%	Yes
SHISA9		1	1	1049	<0.1%	No
GPR148		1	1	1049	<0.1%	No
NPHP4		1	1	1049	<0.1%	No
KIR2DL4		1	1	1049	<0.1%	No
FSD2		1	1	1049	<0.1%	No
TNS4		1	1	1049	<0.1%	No
WHAMM		1	1	1049	<0.1%	No
IGSF23		1	1	1049	<0.1%	No
SH3RF3		1	1	1049	<0.1%	No
PCARE		1	1	1049	<0.1%	No
FGF20		1	1	1049	<0.1%	No
LYPD4		1	1	1049	<0.1%	No
ROS1		31	25	998	2.5%	Yes
RORB		1	1	1049	<0.1%	No
RORA		1	1	1049	<0.1%	No
BOD1		1	1	1049	<0.1%	No
KIT		12	12	1049	1.1%	Yes
TEKT1		1	1	1049	<0.1%	No
FAM50A		1	1	1049	<0.1%	No
EIF3CL		1	1	1049	<0.1%	No
FBXO24		1	1	1049	<0.1%	No
FAM167A		1	1	1049	<0.1%	No
TSPAN17		1	1	1049	<0.1%	No
SLC13A4		1	1	1049	<0.1%	No
AICDA		1	1	1049	<0.1%	No
MS4A13		1	1	1049	<0.1%	No
CLEC18C		1	1	1049	<0.1%	No
FHAD1		1	1	1049	<0.1%	No
ZBED9		1	1	1049	<0.1%	No
RHPN1		1	1	1049	<0.1%	No
TIAM2		1	1	1049	<0.1%	No
SORCS1		2	2	1049	0.2%	No
PCSK7		2	2	196	1.0%	Yes
GPR142		1	1	1049	<0.1%	No
LGALS9C		1	1	1049	<0.1%	No
SLC6A5		1	1	1049	<0.1%	No
KLHL4		1	1	1049	<0.1%	No
ADAM2		3	3	1049	0.3%	No
LRRC45		1	1	1049	<0.1%	No
FTL		1	1	1049	<0.1%	No
WDR62		2	2	1049	0.2%	No
TLN2		3	3	1049	0.3%	No
KPNA5		2	1	1049	<0.1%	No
UBL7		1	1	1049	<0.1%	No
KRAS		17	16	1021	1.6%	Yes
ZC3H12D		1	1	1049	<0.1%	No
KANK1		1	1	1049	<0.1%	No
DGKI		1	1	1049	<0.1%	No
MYSM1		2	2	1049	0.2%	No
FUT4		2	2	1049	0.2%	No
RFTN1		1	1	1049	<0.1%	No
FUT2		1	1	1049	<0.1%	No
LARP4B		1	1	1049	<0.1%	Yes
HSDL1		1	1	1049	<0.1%	No
KRT4		1	1	1049	<0.1%	No
KRT6A		1	1	1049	<0.1%	No
KCNH6		2	2	1049	0.2%	No
KRT6B		1	1	1049	<0.1%	No
FUT6		1	1	1049	<0.1%	No
KRT8		1	1	1049	<0.1%	No
KRT9		1	1	1049	<0.1%	No
FGD5		2	2	1049	0.2%	No
CDK11A		1	1	1049	<0.1%	No
MYOM2		2	2	1049	0.2%	No
MAP3K13		5	5	995	0.5%	Yes
RFPL4AL1		1	1	1049	<0.1%	No
PRSS33		1	1	1049	<0.1%	No
GANAB		1	1	1049	<0.1%	No
MDN1		1	1	1049	<0.1%	No
TPP1		1	1	1049	<0.1%	No
PSME4		1	1	1049	<0.1%	No
LRRC53		1	1	1049	<0.1%	No
CLPTM1		2	1	1049	<0.1%	No
SGCZ		1	1	1049	<0.1%	No
MTHFD1L		1	1	1049	<0.1%	No
SEC31A		1	1	196	0.5%	Yes
SLC24A1		1	1	1049	<0.1%	No
PLEKHA6		1	1	1049	<0.1%	No
FAM153B		1	1	1049	<0.1%	No
TBCE		1	1	1049	<0.1%	No
MCTP1		1	1	1049	<0.1%	No
CMA1		1	1	1049	<0.1%	No
TBP		2	2	1049	0.2%	No
ITIH5		2	1	1049	<0.1%	No
CLTC		1	1	196	0.5%	Yes
ZFHX4		1	1	1049	<0.1%	No
INTS2		1	1	1049	<0.1%	No
CCDC74B		2	2	1049	0.2%	No
POT1		1	1	196	0.5%	Yes
KRT84		2	2	1049	0.2%	No
MORC2		1	1	1049	<0.1%	No
GABRB1		1	1	1049	<0.1%	No
ZHX2		1	1	1049	<0.1%	No
SLC33A1		1	1	1049	<0.1%	No
WDR37		1	1	1049	<0.1%	No
CHPF2		1	1	1049	<0.1%	No
FOXJ3		2	2	1049	0.2%	No
GABRA6		5	5	723	0.7%	Yes
TBXAS1		1	1	1049	<0.1%	No
CASKIN2		2	2	1049	0.2%	No
ARHGAP31		1	1	1049	<0.1%	No
GABRA3		2	2	1049	0.2%	No
GABRA1		1	1	1049	<0.1%	No
XPO5		1	1	1049	<0.1%	No
DGCR8		1	1	1049	<0.1%	No
ELMO3		1	1	1049	<0.1%	No
KRT35		2	2	1049	0.2%	No
TBX15		1	1	1049	<0.1%	No
STARD9		1	1	1049	<0.1%	No
GAD2		1	1	1049	<0.1%	No
ADNP2		2	2	1049	0.2%	No
NTNG1		1	1	1049	<0.1%	No
GABRR1		1	1	1049	<0.1%	No
HNF1A		11	11	824	1.3%	Yes
CASKIN1		1	1	1049	<0.1%	No
SMR3B		1	1	1049	<0.1%	No
ZNF408		1	1	1049	<0.1%	No
TCF3		2	2	266	0.8%	Yes
PCDH19		1	1	1049	<0.1%	No
HECW2		1	1	1049	<0.1%	No
ARMC5		1	1	1049	<0.1%	No
RPTOR		5	5	1021	0.5%	Yes
CD300C		1	1	1049	<0.1%	No
ZNF737		2	1	1049	<0.1%	No
L1CAM		1	1	1049	<0.1%	No
TBX3		11	10	995	1.0%	Yes
R3HDM2		3	2	1049	0.2%	No
MIB1		1	1	196	0.5%	Yes
KLHL36		1	1	1049	<0.1%	No
HACE1		1	1	1049	<0.1%	No
TMED8		1	1	1049	<0.1%	No
ZDHHC22		1	1	1049	<0.1%	No
TCF7		1	1	1049	<0.1%	No
ALPK3		3	3	1049	0.3%	No
MAP2K1		3	3	1021	0.3%	Yes
TCF7L2		2	2	263	0.8%	Yes
MAP2K2		4	4	1021	0.4%	Yes
NPFFR2		1	1	1049	<0.1%	No
MAP2K3		1	1	1049	<0.1%	No
RNF44		1	1	1049	<0.1%	No
MTFMT		1	1	1049	<0.1%	No
GAMT		2	2	1049	0.2%	No
WDR17		1	1	1049	<0.1%	No
CNGA3		1	1	1049	<0.1%	No
DISP3		2	2	1049	0.2%	No
GALNT3		1	1	1049	<0.1%	No
TCOF1		2	1	1049	<0.1%	No
CNGA1		1	1	1049	<0.1%	No
PGRMC1		1	1	1049	<0.1%	No
LILRB1		1	1	1049	<0.1%	No
AGO4		1	1	1049	<0.1%	No
TCN1		1	1	1049	<0.1%	No
ZNF507		3	3	1049	0.3%	No
AAK1		2	2	1049	0.2%	No
VWA5B2		1	1	1049	<0.1%	No
OR10A5		1	1	1049	<0.1%	No
USP35		1	1	1049	<0.1%	No
FLG2		2	1	1049	<0.1%	No
KRTAP5-7		2	2	1049	0.2%	No
CNP		1	1	1049	<0.1%	No
MICAL3		1	1	1049	<0.1%	No
LRRC7		1	1	1049	<0.1%	No
CNN2		1	1	1049	<0.1%	No
NLGN2		1	1	1049	<0.1%	No
HRNR		1	1	1049	<0.1%	No
TCP10L3		1	1	1049	<0.1%	No
HEXD		1	1	1049	<0.1%	No
PRODH		1	1	1049	<0.1%	No
XKR7		4	4	1049	0.4%	No
MME		1	1	1049	<0.1%	No
COL4A2		1	1	1049	<0.1%	No
ARRDC3		1	1	1049	<0.1%	No
TBC1D26		1	1	1049	<0.1%	No
COL2A1		1	1	1049	<0.1%	Yes
SIPA1L2		1	1	1049	<0.1%	No
STKLD1		1	1	1049	<0.1%	No
SYT16		1	1	1049	<0.1%	No
ESYT3		1	1	1049	<0.1%	No
ADGRF3		1	1	1049	<0.1%	No
AFDN		3	3	196	1.5%	Yes
MLLT6		1	1	196	0.5%	Yes
ATF5		1	1	1049	<0.1%	No
NR3C2		2	2	1049	0.2%	No
PHLDA1		1	1	1049	<0.1%	No
CDON		1	1	1049	<0.1%	No
PRSS8		3	3	900	0.3%	Yes
SCAF8		1	1	1049	<0.1%	No
COL7A1		3	3	1049	0.3%	No
FAM161B		2	2	1049	0.2%	No
COL5A2		1	1	1049	<0.1%	No
UNC79		1	1	1049	<0.1%	No
FAM135A		1	1	1049	<0.1%	No
PPP1R13L		1	1	1049	<0.1%	No
SRCAP		2	2	1049	0.2%	No
C21ORF62		1	1	1049	<0.1%	No
PRSS1		3	3	723	0.4%	Yes
RELN		2	2	196	1.0%	Yes
TBX22		1	1	216	0.5%	No
PSD		1	1	1049	<0.1%	No
USP22		1	1	1049	<0.1%	No
SH2B3		14	14	967	1.4%	Yes
CDHR4		1	1	1049	<0.1%	No
HOOK1		1	1	1049	<0.1%	No
DNAH1		1	1	1049	<0.1%	No
UBR5		1	1	1049	<0.1%	Yes
KANSL1		5	5	1049	0.5%	No
ASF1B		1	1	1049	<0.1%	No
ATF7IP		1	1	1049	<0.1%	No
ALDH6A1		1	1	1049	<0.1%	No
ANAPC1		2	2	1049	0.2%	No
TTC28		3	3	1049	0.3%	No
HIGD1A		1	1	1049	<0.1%	No
CLASP1		1	1	1049	<0.1%	No
SZT2		1	1	1049	<0.1%	No
SYNM		6	4	1049	0.4%	No
JADE2		1	1	1049	<0.1%	No
H1-4		1	1	196	0.5%	Yes
NICN1		1	1	1049	<0.1%	No
MNT		1	1	1049	<0.1%	No
ZFP64		1	1	1049	<0.1%	No
MED16		1	1	1049	<0.1%	No
SLC38A2		2	2	1049	0.2%	No
ARFGAP1		1	1	1049	<0.1%	No
MPG		1	1	1049	<0.1%	No
MPL		8	8	1021	0.8%	Yes
TNK1		2	2	1049	0.2%	No
ADGRA2		13	13	923	1.4%	Yes
ARAP1		1	1	1049	<0.1%	No
EHBP1		1	1	1049	<0.1%	No
AGAP1		1	1	1049	<0.1%	No
H3-3A		1	1	793	0.1%	Yes
WSCD1		1	1	1049	<0.1%	No
KIF13B		1	1	1049	<0.1%	No
ACSL6		3	3	196	1.5%	Yes
FKBP9		1	1	1049	<0.1%	No
ARSD		1	1	1049	<0.1%	No
EDEM2		1	1	1049	<0.1%	No
B4GALT3		1	1	1049	<0.1%	No
MGAT4A		1	1	1049	<0.1%	No
CNDP2		1	1	1049	<0.1%	No
ART1		1	1	1049	<0.1%	No
DNAH11		1	1	1049	<0.1%	No
TMC6		1	1	1049	<0.1%	No
TBL1XR1		2	2	196	1.0%	Yes
DDX42		1	1	1049	<0.1%	No
DNAJC13		1	1	1049	<0.1%	No
MRC1		2	2	1049	0.2%	No
MRE11		9	9	1021	0.9%	Yes
WDR83		1	1	1049	<0.1%	No
PSMB5		1	1	1049	<0.1%	No
ABCC1		1	1	1049	<0.1%	No
PSMB7		1	1	1049	<0.1%	No
CTSF		1	1	1049	<0.1%	No
MBTPS1		1	1	1049	<0.1%	No
HARS1		1	1	1049	<0.1%	No
DMXL2		1	1	1049	<0.1%	No
TIPARP		2	2	897	0.2%	Yes
TRPV2		1	1	1049	<0.1%	No
U2AF2		1	1	196	0.5%	Yes
ARAP2		1	1	1049	<0.1%	No
OR2B11		1	1	1049	<0.1%	No
SEPTIN11		1	1	1049	<0.1%	No
MPP3		1	1	1049	<0.1%	No
AKT3		2	2	1021	0.2%	Yes
LLPH		1	1	1049	<0.1%	No
CTRC		1	1	1049	<0.1%	No
GAB4		1	1	1049	<0.1%	No
UGGT2		1	1	1049	<0.1%	No
INTS9		2	1	1049	<0.1%	No
GINS4		2	2	1049	0.2%	No
UTRN		2	2	1049	0.2%	No
OR8K1		1	1	1049	<0.1%	No
ZNF792		1	1	1049	<0.1%	No
ZNF701		1	1	1049	<0.1%	No
PSMB9		1	1	1049	<0.1%	No
SEMA5B		1	1	1049	<0.1%	No
NGLY1		2	2	1049	0.2%	No
SH3TC1		1	1	1049	<0.1%	No
GBF1		1	1	1049	<0.1%	No
AKNA		1	1	1049	<0.1%	No
VAV2		1	1	1049	<0.1%	Yes
SLC19A3		1	1	1049	<0.1%	No
KCTD5		1	1	1049	<0.1%	No
MBD5		1	1	1049	<0.1%	No
KDM6A	3.822e-11	151	138	1049	13.2%	Yes
CFAP44		1	1	1049	<0.1%	No
PALB2		12	12	998	1.2%	Yes
VASP		1	1	1049	<0.1%	No
ARHGEF15		1	1	1049	<0.1%	No
MYRIP		4	4	1049	0.4%	No
VEGFA		1	1	990	0.1%	Yes
GEMIN5		1	1	1049	<0.1%	No
HDGF		1	1	1049	<0.1%	No
DIS3		17	16	995	1.6%	Yes
HCRTR2		3	3	1049	0.3%	No
RIN2		1	1	1049	<0.1%	No
SLC25A22		1	1	1049	<0.1%	No
CMTR2		2	2	1049	0.2%	Yes
SNIP1		1	1	1049	<0.1%	No
ZNF750		1	1	1049	<0.1%	Yes
MOV10L1		2	2	1049	0.2%	No
ZBTB1		3	3	1049	0.3%	No
FGD6		1	1	1049	<0.1%	No
ADAM21		1	1	1049	<0.1%	No
CTAGE4		1	1	1049	<0.1%	No
ADAM20		2	2	1049	0.2%	No
NCKAP1L		1	1	1049	<0.1%	No
RP1		1	1	1049	<0.1%	No
SAMHD1		1	1	1049	<0.1%	Yes
TNFRSF14		2	2	998	0.2%	Yes
OR5D16		1	1	1049	<0.1%	No
IQCN		2	2	1049	0.2%	No
SRCIN1		1	1	1049	<0.1%	No
ASTN1		1	1	1049	<0.1%	No
ZFHX3		3	3	263	1.1%	Yes
DDX28		1	1	1049	<0.1%	No
DIPK2B		1	1	1049	<0.1%	No
CCDC7		1	1	1049	<0.1%	No
ATF3		1	1	1049	<0.1%	No
VGF		1	1	1049	<0.1%	No
VHL		5	5	1021	0.5%	Yes
ADAM7		2	2	1049	0.2%	No
HGF		6	6	998	0.6%	Yes
AGTPBP1		1	1	1049	<0.1%	No
TBC1D32		1	1	1049	<0.1%	No
ATIC		1	1	196	0.5%	Yes
NRG1		2	2	1049	0.2%	Yes
ATM		66	59	1021	5.8%	Yes
MEX3B		2	2	1049	0.2%	No
MTUS2		1	1	1049	<0.1%	No
CNTN5		1	1	1049	<0.1%	No
HIP1		1	1	196	0.5%	Yes
VWF		1	1	1049	<0.1%	No
OR56A3		1	1	1049	<0.1%	No
RPL5		1	1	1049	<0.1%	Yes
HK1		2	2	1049	0.2%	No
HIVEP2		1	1	1049	<0.1%	No
HIVEP1		1	1	1049	<0.1%	No
TCP10L2		1	1	1049	<0.1%	No
ATP1B2		1	1	1049	<0.1%	No
MGRN1		1	1	1049	<0.1%	No
RPA1		3	3	897	0.3%	No
SYNDIG1L		2	2	1049	0.2%	No
C2CD6		3	2	1049	0.2%	No
POU6F2		1	1	1049	<0.1%	No
SCN11A		2	2	1049	0.2%	No
RPL11		1	1	1049	<0.1%	No
DYRK4		1	1	1049	<0.1%	No
NSD2		1	1	212	0.5%	Yes
SCEL		1	1	1049	<0.1%	No
CCDC22		1	1	1049	<0.1%	No
MGA		10	10	263	3.8%	Yes
KRTAP21-1		1	1	1049	<0.1%	No
ATP2B4		1	1	1049	<0.1%	No
PPIP5K2		1	1	1049	<0.1%	No
ZC3H7B		1	1	1049	<0.1%	No
C2ORF16		1	1	1049	<0.1%	No
UBE3B		1	1	1049	<0.1%	No
ZDHHC3		1	1	1049	<0.1%	No
RIPPLY2		1	1	1049	<0.1%	No
OR51I1		1	1	1049	<0.1%	No
KLHL18		1	1	1049	<0.1%	No
VWCE		1	1	1049	<0.1%	No
BPIFC		1	1	1049	<0.1%	No
CLUH		1	1	1049	<0.1%	No
USP50		1	1	1049	<0.1%	No
NUP160		1	1	1049	<0.1%	No
GIT1		1	1	1049	<0.1%	No
SCUBE3		1	1	1049	<0.1%	No
KLHL31		1	1	1049	<0.1%	No
TLNRD1		1	1	1049	<0.1%	No
CAMSAP2		1	1	1049	<0.1%	No
TMPRSS9		1	1	1049	<0.1%	No
SLC22A17		1	1	1049	<0.1%	No
ANKRD20A1		2	1	1049	<0.1%	No
RSRC1		1	1	1049	<0.1%	No
CCDC178		2	2	1049	0.2%	No
TET3		1	1	1049	<0.1%	Yes
ASTN2		1	1	1049	<0.1%	No
KATNIP		1	1	1049	<0.1%	No
ATP9B		2	2	1049	0.2%	No
MEX3C		1	1	1049	<0.1%	No
TMEM131L		1	1	1049	<0.1%	No
ATXN2L		1	1	1049	<0.1%	No
MTCL1		1	1	1049	<0.1%	No
OSR2		1	1	1049	<0.1%	No
WT1		4	4	1021	0.4%	Yes
C18ORF63		1	1	1049	<0.1%	No
IGSF8		1	1	1049	<0.1%	No
APOBEC3D		1	1	1049	<0.1%	No
GDPD4		1	1	1049	<0.1%	No
ANKRD12		1	1	1049	<0.1%	No
DACT1		1	1	1049	<0.1%	No
KLF8		1	1	1049	<0.1%	No
CAPRIN2		1	1	1049	<0.1%	No
ZSCAN18		4	3	1049	0.3%	No
ZMYM3		4	4	196	2.0%	Yes
RRP12		2	1	1049	<0.1%	No
SYNE2		3	3	1049	0.3%	No
DTX4		1	1	1049	<0.1%	No
ADGRF5		1	1	1049	<0.1%	No
KLC4		1	1	1049	<0.1%	No
ARHGEF40		2	2	1049	0.2%	No
NXPH4		1	1	1049	<0.1%	No
NECAP2		1	1	1049	<0.1%	No
AURKB		7	7	1021	0.7%	Yes
RPS3		1	1	1049	<0.1%	No
SIK2		2	2	1049	0.2%	No
LAMA3		3	3	1049	0.3%	No
TENM3		1	1	1049	<0.1%	No
ZNF334		2	2	1049	0.2%	No
FLYWCH1		1	1	196	0.5%	Yes
USP54		1	1	1049	<0.1%	No
SLC37A3		1	1	1049	<0.1%	No
FILIP1L		2	2	1049	0.2%	No
MAGI1		1	1	1049	<0.1%	No
RPS6KA2		1	1	1049	<0.1%	No
RPS6KB1		2	2	1049	0.2%	No
FAM47A		1	1	1049	<0.1%	No
HSPH1		1	1	1049	<0.1%	No
MYORG		1	1	1049	<0.1%	No
SNX33		1	1	1049	<0.1%	No
PRSS35		1	1	1049	<0.1%	No
RPS6KA1		1	1	1049	<0.1%	No
LAMB2		1	1	1049	<0.1%	No
SLC12A5		1	1	1049	<0.1%	No
TAS1R3		1	1	1049	<0.1%	No
ERICH6B		1	1	1049	<0.1%	No
WASF3		1	1	1049	<0.1%	No
PCDHB2		1	1	1049	<0.1%	No
FRS3		1	1	1049	<0.1%	No
ARMH4		1	1	1049	<0.1%	No
LAMA5		2	2	1049	0.2%	No
LAMB1		1	1	1049	<0.1%	No
RRAS2		1	1	209	0.5%	Yes
ITGA11		2	2	1049	0.2%	No
TAS2R13		1	1	1049	<0.1%	No
CEP170B		2	2	1049	0.2%	No
TFAP2D		2	2	1049	0.2%	No
FAM177A1		1	1	1049	<0.1%	No
PCDHA2		1	1	1049	<0.1%	No
SHROOM4		2	2	1049	0.2%	No
GRWD1		1	1	1049	<0.1%	No
PCDHA1		1	1	1049	<0.1%	No
USP31		1	1	1049	<0.1%	No
SLC22A12		2	2	1049	0.2%	No
GPR50		1	1	1049	<0.1%	No
TEX15		1	1	1049	<0.1%	No
PLEKHG1		1	1	1049	<0.1%	No
DNAH2		1	1	1049	<0.1%	No
TEX14		1	1	1049	<0.1%	No
ESYT2		1	1	1049	<0.1%	No
OR4K14		1	1	1049	<0.1%	No
TSPOAP1		2	2	1049	0.2%	No
STK31		1	1	1049	<0.1%	No
NWD2		1	1	1049	<0.1%	No
MRTFB		1	1	1049	<0.1%	No
LCA5		1	1	1049	<0.1%	No
SEMA3D		1	1	1049	<0.1%	No
ARID1B		86	82	821	10.0%	Yes
SEC24A		1	1	1049	<0.1%	No
GAS1		1	1	1049	<0.1%	No
DNAH7		1	1	1049	<0.1%	No
AQP12A		2	2	1049	0.2%	No
GATA3		5	5	998	0.5%	Yes
MUC15		1	1	1049	<0.1%	No
GATA2		15	15	998	1.5%	Yes
GATA1		3	3	1021	0.3%	Yes
TTC21A		1	1	1049	<0.1%	No
GATA6		3	3	723	0.4%	Yes
LFNG		1	1	1049	<0.1%	No
COPB2		1	1	1049	<0.1%	No
DUOX1		1	1	1049	<0.1%	No
ANKRD20A4P		1	1	1049	<0.1%	No
COL11A1		1	1	1049	<0.1%	No
COL10A1		1	1	1049	<0.1%	No
KPNA7		1	1	1049	<0.1%	No
COL17A1		2	2	1049	0.2%	No
GCDH		1	1	1049	<0.1%	No
COL15A1		3	3	1049	0.3%	No
TOPAZ1		1	1	1049	<0.1%	No
TIMM23		1	1	1049	<0.1%	No
LIG4		1	1	1049	<0.1%	No
OR5L2		1	1	1049	<0.1%	No
MBD3L1		2	2	1049	0.2%	No
KLF6		1	1	1049	<0.1%	Yes
COPA		2	2	1049	0.2%	No
GCK		1	1	1049	<0.1%	No
LHCGR		1	1	1049	<0.1%	No
LHFPL4		1	1	1049	<0.1%	No
LIPE		1	1	1049	<0.1%	No
COX4I1		1	1	1049	<0.1%	No
FAT3		43	41	897	4.6%	No
CNBD1		1	1	1049	<0.1%	No
LIM2		2	2	1049	0.2%	No
ZSWIM1		2	2	1049	0.2%	No
CEP131		1	1	1049	<0.1%	No
KRTAP17-1		1	1	1049	<0.1%	No
IGSF9B		3	2	1049	0.2%	No
GEM		1	1	1049	<0.1%	No
LRFN1		1	1	1049	<0.1%	No
ZBTB2		1	1	723	0.1%	No
LLGL2		1	1	1049	<0.1%	No
TPCN2		3	3	1049	0.3%	No
MPPE1		1	1	1049	<0.1%	No
DACT2		1	1	1049	<0.1%	No
TRPV5		2	2	1049	0.2%	No
EP400		1	1	1049	<0.1%	Yes
ZC3H14		1	1	1049	<0.1%	No
GGT1		2	1	1049	<0.1%	No
ANKRD36C		3	2	1049	0.2%	No
SH3RF1		1	1	1049	<0.1%	No
AKR7A3		1	1	1049	<0.1%	No
